Domaine	Endpoint/source	Chemin JSON exact	Type	Exemple réel	Disponible avant match ?	Disponible en direct ?	Disponible après match ?	Historique accessible ?	Fiabilité/complétude	Déjà stocké dans le projet ?	Déjà utilisé par le moteur ?
Identité et contexte du match	/fixtures?id=1379344	response[].score.halftime.home	int	1	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].score.penalty.away	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].score.penalty.home	null		oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].statistics[].statistics[].type	str	Shots on Goal	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].statistics[].statistics[].value	int	3	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].statistics[].team.id	int	50	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].statistics[].team.logo	str	https://media.api-sports.io/football/teams/50.png	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].statistics[].team.name	str	Manchester City	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].teams.away.id	int	66	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].teams.away.logo	str	https://media.api-sports.io/football/teams/66.png	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].teams.away.name	str	Aston Villa	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].teams.away.winner	bool	True	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	response[].teams.home.id	int	50	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].teams.home.logo	str	https://media.api-sports.io/football/teams/50.png	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].teams.home.name	str	Manchester City	oui	non	oui	oui	bonne	oui	oui
Identité et contexte du match	/fixtures?id=1379344	response[].teams.home.winner	bool	False	oui	non	oui	oui	bonne	non	non
Identité et contexte du match	/fixtures?id=1379344	results	int	1	oui	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	errors	array	[]	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	get	str	fixtures/statistics	non	non	oui	oui	bonne	non	non
Statistiques du match terminé	/fixtures/statistics?fixture=1379344	paging.current	int	1	non	non	oui	oui	bonne	non	non
